district,okrug,population,area_km2,avg_income_rub,lat,lon,density_per_km2
Бибирево,СВАО,162000,7.13,80000,55.88950688160921,37.610955306896564,22720.897615708276
Бутырский,СВАО,71000,4.16,91000,55.808019677165355,37.58884444251967,17067.30769230769
Лианозово,СВАО,82000,3.16,84000,55.901453224193546,37.56748055967743,25949.367088607592
Лосиноостровский,СВАО,79000,4.27,84000,55.87881592877697,37.68290134100719,18501.170960187355
Марфино,СВАО,28000,1.78,90000,55.834676880116945,37.59031275555559,15730.337078651684
Марьина Роща,СВАО,68000,4.79,98000,55.7958,37.6125,14196.242171189979
Останкинский,СВАО,55000,12.95,99000,55.835748454605245,37.615429431250014,4247.104247104247
Отрадное,СВАО,182000,7.36,84000,55.86492804824906,37.61560977937741,24728.260869565216
Ростокино,СВАО,33000,2.66,87000,55.83394776438356,37.650458417808196,12406.015037593985
Свиблово,СВАО,57000,3.5,86000,55.85528525067568,37.64179469121621,16285.714285714286
Северное Медведково,СВАО,77000,4.65,86000,55.88621998140702,37.655547777889446,16559.139784946234
Северный,СВАО,17000,12.28,82000,55.94269431666667,37.55452304861109,1384.3648208469056
Южное Медведково,СВАО,75000,3.86,86000,55.87360255622639,37.630701904150946,19430.051813471502
Ярославский,СВАО,72000,8.69,88000,55.85916063626372,37.701169459890124,8285.385500575374
Богородское,ВАО,107000,7.5,82000,55.81292612390433,37.70346695099598,14266.666666666666
Вешняки,ВАО,121000,8.5,85000,55.72892070491803,37.808757718032794,14235.29411764706
Восточный,ВАО,12000,9.31,75000,55.854009591489344,37.859173948226946,1288.9366272824918
Восточное Измайлово,ВАО,77000,3.2,83000,55.794209961538456,37.81453162517482,24062.5
Гольяново,ВАО,159000,9.51,80000,55.82086209671053,37.78846397500001,16719.242902208203
Ивановское,ВАО,124000,5.85,84000,55.76945969682543,37.82270545198411,21196.5811965812
Измайлово,ВАО,107000,7.3,86000,55.787592912426,37.77825033136096,14657.534246575342
Косино-Ухтомский,ВАО,72000,15.39,79000,55.72004135806451,37.90329497327187,4678.362573099415
Метрогородок,ВАО,38000,12.04,80000,55.84366790822511,37.72358081428572,3156.146179401994
Новогиреево,ВАО,90000,3.97,84000,55.74937855405403,37.80482494054055,22670.025188916876
Новокосино,ВАО,93000,3.65,83000,55.740399339999996,37.863410561428566,25479.45205479452
Перово,ВАО,140000,9.81,84000,55.75132609032257,37.77445748064516,14271.151885830785
Преображенское,ВАО,73000,4.49,89000,55.79484441754964,37.71758715430463,16258.351893095767
Северное Измайлово,ВАО,87000,4.61,84000,55.806564985593205,37.80175921864408,18872.017353579173
Соколиная Гора,ВАО,82000,9.49,82000,55.7708,37.7361,8640.674394099051
Сокольники,ВАО,57000,5.43,96000,55.80336146550001,37.687612323999986,10497.237569060773
Бирюлёво Восточное,ЮАО,151000,12.34,79000,55.5917,37.6794,12236.628849270664
Бирюлёво Западное,ЮАО,82000,11.94,78000,55.5985,37.6347,6867.671691792295
Братеево,ЮАО,99000,6.95,80000,55.626717307999975,37.76005409542857,14244.604316546762
Даниловский,ЮАО,99000,8.65,93000,55.7165826178439,37.62970688438663,11445.086705202311
Донской,ЮАО,53000,5.05,99000,55.7096952857678,37.60476062734082,10495.049504950495
Зябликово,ЮАО,134000,4.31,82000,55.62297782366866,37.74192285502958,31090.48723897912
Москворечье-Сабурово,ЮАО,73000,6.05,82000,55.64088593524359,37.659727053868195,12066.11570247934
Нагатино-Садовники,ЮАО,77000,7.42,87000,55.66450807572815,37.64238276504855,10377.358490566037
Нагатинский Затон,ЮАО,120000,8.71,86000,55.6792,37.6964,13777.26750861079
Нагорный,ЮАО,71000,3.2,89000,55.67429820585105,37.611077473936156,22187.5
Орехово-Борисово Северное,ЮАО,124000,7.46,80000,55.61919599475808,37.70114150846775,16621.983914209115
Орехово-Борисово Южное,ЮАО,140000,8.49,79000,55.605597001766775,37.72766400777387,16489.988221436983
Царицыно,ЮАО,160000,7.61,82000,55.63490788661419,37.647877632283496,21024.96714848883
Чертаново Северное,ЮАО,116000,4.69,84000,55.63133191180552,37.59303008958334,24733.475479744135
Чертаново Центральное,ЮАО,109000,5.83,84000,55.615290467934756,37.59441235597825,18696.39794168096
Чертаново Южное,ЮАО,144000,12.46,82000,55.58853859709303,37.5966479761628,11556.982343499196
Академический,ЮЗАО,108000,5.06,99000,55.68844183955222,37.58127958880596,21343.873517786564
Гагаринский,ЮЗАО,78000,4.91,108000,55.692694786725674,37.55652963982301,15885.947046843177
Зюзино,ЮЗАО,124000,7.46,87000,55.65774562988505,37.59245501034486,16621.983914209115
Коньково,ЮЗАО,134000,8.59,87000,55.64181266069365,37.52777172774568,15599.534342258441
Котловка,ЮЗАО,67000,3.59,88000,55.67750656392694,37.5998363908676,18662.952646239555
Ломоносовский,ЮЗАО,79000,3.65,99000,55.67735958785715,37.53922567785713,21643.835616438355
Обручевский,ЮЗАО,77000,8.71,93000,55.65944277514792,37.52138765325445,8840.413318025257
Северное Бутово,ЮЗАО,80000,7.31,82000,55.577930908612416,37.553797666267926,10943.91244870041
Тёплый Стан,ЮЗАО,127000,9.04,84000,55.6361,37.4861,14048.672566371682
Черёмушки,ЮЗАО,108000,5.06,93000,55.6694,37.5694,21343.873517786564
Южное Бутово,ЮЗАО,202000,30.21,80000,55.52640295843135,37.51239384572558,6686.527639854353
Ясенево,ЮЗАО,176000,25.36,87000,55.61670244677007,37.55341040930231,6940.06309148265
Внуково,ЗАО,21000,3.81,82000,55.612375696024465,37.27756549097859,5511.811023622047
Дорогомилово,ЗАО,69000,7.95,128000,55.739280703529424,37.53335465529412,8679.245283018869
Крылатское,ЗАО,84000,11.38,108000,55.7650063551402,37.413901067289714,7381.370826010544
Кунцево,ЗАО,140000,16.74,91000,55.74686645900548,37.11201808787143,8363.201911589009
Можайский,ЗАО,127000,16.4,85000,55.70318408918435,37.38130523758864,7743.902439024391
Ново-Переделкино,ЗАО,107000,7.92,82000,55.65020672442997,37.35533264820847,13510.10101010101
Очаково-Матвеевское,ЗАО,116000,17.71,86000,55.70670897329317,37.45423577931726,6549.971767363071
Проспект Вернадского,ЗАО,55000,4.55,109000,55.67858486688529,37.4941283567213,12087.91208791209
Раменки,ЗАО,153000,18.79,99000,55.695436764102595,37.50198018504272,8142.62905800958
Солнцево,ЗАО,116000,8.74,85000,55.643098171900796,37.39738622920111,13272.311212814646
Тропарёво-Никулино,ЗАО,109000,7.96,93000,55.6661,37.4694,13693.467336683418
Филёвский Парок,ЗАО,72000,9.62,99000,55.7561,37.4994,7484.407484407485
Фили-Давыдково,ЗАО,103000,5.05,92000,55.718226500611685,37.47228016452597,20396.0396039604
Аэропорт,САО,77000,3.96,98000,55.80081332439026,37.54896612195121,19444.444444444445
Беговой,САО,40000,2.59,99000,55.78160695174826,37.565902204195815,15444.015444015446
Бескудниковский,САО,76000,3.49,82000,55.86715638279072,37.55330335023256,21776.504297994266
Войковский,САО,68000,5.59,87000,55.827778101098865,37.49986348296703,12164.579606440071
Восточное Дегунино,САО,72000,4.83,82000,55.87410280055866,37.56004978826815,14906.832298136645
Головинский,САО,98000,9.41,84000,55.849625362871286,37.50434086881186,10414.452709883102
Дмитровский,САО,77000,5.97,82000,55.88677962790696,37.52918375406977,12897.82244556114
Западное Дегунино,САО,86000,6.91,82000,55.876142869545454,37.518825960454556,12445.730824891461
Коптево,САО,93000,5.07,84000,55.82905665991381,37.52463145991379,18343.19526627219
Левобережный,САО,53000,6.41,86000,55.86760577916669,37.46672304675925,8268.33073322933
Молжаниновский,САО,5000,21.04,82000,55.94474744999996,37.38323255754189,237.6425855513308
Савёловский,САО,57000,3.34,99000,55.7978,37.5806,17065.868263473054
Сокол,САО,57000,3.42,99000,55.8024418702703,37.51068142882882,16666.666666666668
Тимирязевский,САО,80000,8.38,87000,55.82876427149997,37.556909746499976,9546.53937947494
Ховрино,САО,82000,5.65,84000,55.86497806666667,37.49034812303028,14513.274336283184
Хорошёвский,САО,72000,8.59,99000,55.7825,37.5394,8381.839348079162
